layer,train_acc,test_acc,test_f1,prompt,steered_outs_0,steered_out_enforced_int_0,steered_outs_1,steered_out_enforced_int_1,steered_outs_2,steered_out_enforced_int_2,steered_outs_5,steered_out_enforced_int_5,steered_outs_10,steered_out_enforced_int_10,steered_outs_20,steered_out_enforced_int_20
17,1.0,0.875,0.8747463613817982,"answer 'Is the picture bright or dark?' answer with an INTEGER between among 1 (darkest), 2 (dark), 3 (neutral), 4 (bright), 5 (brightest): ",bright,5,bright,2,bright,5,bright,5,bright,5,bright,5
18,1.0,0.805,0.8046043237556051,"answer 'Is the picture bright or dark?' answer with an INTEGER between among 1 (darkest), 2 (dark), 3 (neutral), 4 (bright), 5 (brightest): ",bright,1,dark,5,dark,5,dark,2,bright,5,bright,5
19,1.0,0.8,0.7998198378540686,"answer 'Is the picture bright or dark?' answer with an INTEGER between among 1 (darkest), 2 (dark), 3 (neutral), 4 (bright), 5 (brightest): ",bright,5,bright,2,bright,5,bright,5,bright,5,bright,5
20,1.0,0.8,0.8,"answer 'Is the picture bright or dark?' answer with an INTEGER between among 1 (darkest), 2 (dark), 3 (neutral), 4 (bright), 5 (brightest): ",bright,5,bright,5,dark,2,bright,3,bright,5,bright,5
21,1.0,0.78,0.7798018216394755,"answer 'Is the picture bright or dark?' answer with an INTEGER between among 1 (darkest), 2 (dark), 3 (neutral), 4 (bright), 5 (brightest): ",dark,5,bright,5,bright,5,dark,5,bright,5,bright,5
22,1.0,0.78,0.77997799779978,"answer 'Is the picture bright or dark?' answer with an INTEGER between among 1 (darkest), 2 (dark), 3 (neutral), 4 (bright), 5 (brightest): ",dark,5,bright,3,bright,5,dark,5,bright,1,bright,2
23,1.0,0.775,0.7749493636068115,"answer 'Is the picture bright or dark?' answer with an INTEGER between among 1 (darkest), 2 (dark), 3 (neutral), 4 (bright), 5 (brightest): ",dark,5,dark,5,bright,5,bright,5,dark,5,bright,5
24,1.0,0.775,0.7749493636068115,"answer 'Is the picture bright or dark?' answer with an INTEGER between among 1 (darkest), 2 (dark), 3 (neutral), 4 (bright), 5 (brightest): ",bright,5,bright,5,dark,5,bright,5,bright,2,bright,5
25,1.0,0.775,0.7749943748593715,"answer 'Is the picture bright or dark?' answer with an INTEGER between among 1 (darkest), 2 (dark), 3 (neutral), 4 (bright), 5 (brightest): ",dark,5,bright,5,bright,5,bright,5,bright,5,bright,5
26,1.0,0.72,0.7197477729956961,"answer 'Is the picture bright or dark?' answer with an INTEGER between among 1 (darkest), 2 (dark), 3 (neutral), 4 (bright), 5 (brightest): ",N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5
